Author ID,Paper ID,Author,Affiliation,Affiliation Type
38156954600,146369,richard a. becker,"AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA",Private Corporation
37282570100,146369,stephen g. eick,"AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA",Private Corporation
38225586000,146369,eileen o. miller,"AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA",Private Corporation
38140574900,146369,allan r. wilks,"AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA",Private Corporation
37673708000,146368,ping-kang hsiung,"Department of Electrical & Computer Engineering, Carnegie Mellon University, Pittsburgh, PA, USA",Academic Institution
37355901300,146368,robert h. thibadeau,"Carnegie Mellon Univ., Pittsburgh, PA, USA",Academic Institution
38224229700,146368,christopher b. cox,"Carnegie Mellon Univ., Pittsburgh, PA, USA",Academic Institution
37684312600,146368,robert h. p. dunn,"Carnegie Mellon Univ., Pittsburgh, PA, USA",Academic Institution
38225786100,146368,michael wu,"Carnegie Mellon Univ., Pittsburgh, PA, USA",Academic Institution
38224474700,146368,paul andrew olbrich,"Carnegie Mellon Univ., Pittsburgh, PA, USA",Academic Institution
37347480400,146371,bowen alpern,"IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA",Private Corporation
37281754200,146371,larry carter,"IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA",Private Corporation
37424740200,146371,ted selker,"IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA",Private Corporation
37333439100,146370,andrew j. hanson,"Department of Computer Science and the Center for Innovative Computer Applications, Indiana University, Bloomington, IN, USA",Academic Institution
37283077400,146370,p.a. heng,"Department of Computer Science and the Center for Innovative Computer Applications, Indiana University, Bloomington, IN, USA",Academic Institution
38226976000,146370,b. c. kaplan,"Department of Computer Science and the Center for Innovative Computer Applications, Indiana University, Bloomington, IN, USA",Academic Institution
37388066800,146372,philip k. robertson,"Centre for Spatial Information Systems, Division of Information Technology, CSIRO, Canberra, ACT, Australia",Private Corporation
38222544200,146373,george david kerlick,"Tektronix Laboratories, Beaverton, OR, USA",Private Corporation
37352200300,146376,nahum gershon,"MITRE Corporation, Mclean, VA, USA",Private Corporation
38222492800,146375,stephen wehrend,"Center for Advanced Decision Support in Water and Environmental, Systems and Department of Computer Science, University of Colorado, Boulder, CO, USA",Academic Institution
37380191400,146375,clayton lewis,"Center for Advanced Decision Support in Water and Environmental, Systems and Department of Computer Science, University of Colorado, Boulder, CO, USA",Academic Institution
38221269900,146374,jerry lohse,"Cognitive Science and Machine Intelligence Laboratory, University of Michigan, Ann Arbor, MI, USA",Academic Institution
38222535800,146374,henry rueter,"Cognitive Science and Machine Intelligence Laboratory, University of Michigan, Ann Arbor, MI, USA",Academic Institution
37377633100,146374,kevin biolsi,"Cognitive Science and Machine Intelligence Laboratory, University of Michigan, Ann Arbor, MI, USA",Academic Institution
38224131700,146374,neff walker,"Cognitive Science and Machine Intelligence Laboratory, University of Michigan, Ann Arbor, MI, USA",Academic Institution
37070774300,146377,kalpathi subramanian,"Department of Computer Sciences, University of Texas, Austin, Austin, TX, USA",Academic Institution
37300594200,146377,donald s. fussell,"Department of Computer Sciences, University of Texas, Austin, Austin, TX, USA",Academic Institution
37378511100,146379,lori scarlatos,"Grumman Data Systems, Woodbury, NY, USA",Private Corporation
37357427000,146379,the pavlidis,"Department of Computer Sciences, State University of New York, Stony Brook, NY, USA",Academic Institution
37268052800,146378,arie e kaufman,"Department of Computer Sciences, State University of New York, Stony Brook, Stony Brook, NY, USA",Academic Institution
37342422500,146378,roni yagel,"Department of Computer Sciences, State University of New York, Stony Brook, Stony Brook, NY, USA",Academic Institution
38158765400,146378,reuven bakalash,"Department of Computer Sciences, State University of New York, Stony Brook, Stony Brook, NY, USA",Academic Institution
38222533200,146378,ilan spector,"Department of Computer Sciences, State University of New York, Stony Brook, Stony Brook, NY, USA",Academic Institution
37282578800,146381,hans hagen,"FB-Informatik, Universität Kaiserslautern",Academic Institution
38181577200,146381,thomas s schreiber,"FB-Informatik, Universität Kaiserslautern",Academic Institution
38222534800,146381,ernst gschwind,"Mechanical Design Division, Hewlett-Packard GmbH",Private Corporation
37271525400,146383,binh pham,"Department of Computer Sciences, Monash University, Melbourne, Australia",Academic Institution
38225435000,146382,chieh-cheng j. yen,"Department of Civil Engineering, Ohio State Uinversity, USA",Private Corporation
38222589100,146382,keith w. bedford,"Department of Civil Engineering, Ohio State Uinversity, USA",Private Corporation
38223917500,146382,keith w. bedford,"The Ohio Supercomputer Graphics Project, Ohio Supercomputing Center",Private Corporation
38225773100,146382,robert e. marshall,"The Ohio Supercomputer Graphics Project, Ohio Supercomputing Center",Private Corporation
37301161800,146384,john c. hart,"Electronic Visualization Laboratory, University of Illinois, Chicago, USA",Academic Institution
37621252300,146384,louis h. kauffman,"Electronic Visualization Laboratory, University of Illinois, Chicago, USA",Academic Institution
37086974762,146384,daniel j. sandin,"Electron. Visualization Lab., Illinois Univ., Chicago, IL, USA",Academic Institution
38225470800,146385,yonggang ke,"Department of Computational Science, University of Saskatchewan, Saskatoon, SAS, Canada",Academic Institution
38222550000,146385,:e.s. panduranga,"Department of Computer Sciences, Johns Hopkins University, Baltimore, MD, USA",Academic Institution
38225805300,146386,jeffrey leblanc,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",Academic Institution
37268441700,146386,matthew ward,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",Academic Institution
38223933400,146386,norman wittels,"Civil Engineering Department, Worcester Polytechnic Institute, Worcester, MA, USA",Academic Institution
37314757900,146389,ted mihalisin,"Department of Physics, Temple University, Philadelphia, PA, USA",Academic Institution
37312472600,146389,e. grawlinksi,"Department of Physics, Temple University, Philadelphia, PA, USA",Academic Institution
37567607700,146389,john timlin,"Department of Physics, Temple University, Philadelphia, PA, USA",Academic Institution
37938366000,146389,john schwegler,"Department of Physics, Temple University, Philadelphia, PA, USA",Academic Institution
37393753600,146388,thomas a. foley,"Computer Science Department, Arizona State University, Tempe, AZ, USA",Academic Institution
37356915500,146388,david a. lane,"Computer Science Department, Arizona State University, Tempe, AZ, USA",Academic Institution
37382195100,146391,wolfgang krueger,"ART COM e.V., Berlin, Germany",Private Corporation
38223707500,146390,ray j. meyers,"Applied Mechanics Division III, Sandia National Laboratories, Albuquerque, NM, USA",Private Corporation
38182442500,146390,michael b. stephenson,"Engineering Computer Graphics Laboratory, Civil Engineering Department, Brigham Young University, Provo, UT, USA",Academic Institution
38222534300,146392,j.l. pajon,"Institut Français du Pétrole, France",Private Corporation
38224108700,146392,v.b. tran,"Institut Français du Pétrole, France",Private Corporation
38220531600,146395,debra dooley,"Department of Computer Sciences, University of Utah, Salt Lake, UT, USA",Academic Institution
37269827100,146395,michael f. cohen,"Department of Computer Sciences, University of Utah, Salt Lake, UT, USA",Academic Institution
37371403900,146393,david p. dobkin,"Department of Computer Sciences, Princeton University, Princeton, NJ, USA",Academic Institution
38222550000,146393,:e.s. panduranga,"Department of Computer Sciences, Johns Hopkins University, Baltimore, MD, USA",Academic Institution
38226089400,146393,m. zhu,"Department of Computer Sciences, Johns Hopkins University, Baltimore, MD, USA",Academic Institution
38225685300,146394,philip c. hsu,"Department of Electrical Engineering, University of Florida, Gainesville, FL, USA",Academic Institution
37349154000,146394,john staudhammer,"Department of Electrical Engineering, University of Florida, Gainesville, FL, USA",Academic Institution
37355358000,146396,keith voegele,"Computer Science Department, Arizona State University, Tempe, AZ, USA",Academic Institution
37839171900,146399,richard l. phillips,"Los Alamos National Laboratory, Los Alamos, NM, USA",Private Corporation
38169454400,146397,d.l. brittain,"Wavefront Technologies, Inc., Santa Barbara, CA, USA",Private Corporation
38227333000,146397,j. aller,"Wavefront Technologies, Inc., Santa Barbara, CA, USA",Private Corporation
38161322300,146397,m. wilson,"Wavefront Technologies, Inc., Santa Barbara, CA, USA",Private Corporation
38226540000,146397,s.-l.c. wang,"Wavefront Technologies, Inc., Santa Barbara, CA, USA",Private Corporation
37419567600,146400,michael j. laszlo,"Department of Electrical Engineering & Computer Sciences, University of Illinois, Chicago, USA",Academic Institution
37372689000,146401,alyn rockwood,"Silicon Graphics Computer Systems, Mountain View, CA, USA",Private Corporation
37618567100,146398,elizabeth m. wenzel,"NASA Ames Research Center, Moffett Field, CA, USA",Private Corporation
38224462600,146398,philip k. stone,"Sterling Software, NASA Ames Research Center, Moffett Field, CA, USA",Private Corporation
38001495100,146398,scott s. fisher,"Los Altos Hills, CA, USA",Private Corporation
37612624400,146398,scott h. foster,"Crystal River Engineering, Inc., Groveland, CA, USA",Private Corporation
37294162600,146402,alfred inselberg,"IBM Scientific Center, Los Angeles, CA, USA",Private Corporation
37426169800,146402,bernard dimsdale,"IBM Scientific Center, Los Angeles, CA, USA",Private Corporation
38221998500,146403,dieter lasser,"Fachbereich Informatik, Universität Kaiserslautern",Academic Institution
38224911100,146412,g.w. edgar,"Boeing Computer Services, Inc., Seattle, WA, USA",Private Corporation
38224901300,146414,l. herr,"Pacific Interface, New York, NY, USA",Private Corporation
38222512800,146413,stephen l. senft,"Division of Experimental Neurology and Neurosurgery, Washington University School of Medicine, Saint Louis, MO, USA",Academic Institution
38222513300,146413,vincent j. argiro,"Department of Physiological and Biological Sciences, Maharishi International University and Vital Images, Inc., Fairfield, IA, USA",Academic Institution
38222511400,146413,william l. vanzandt,"Department of Physiological and Biological Sciences, Maharishi International University and Vital Images, Inc., Fairfield, IA, USA",Academic Institution
38222505100,146417,david a prawel,"Precision Visuals, Inc., Boulder, CO, USA",Private Corporation
38227569300,146415,wayne e. fordyce,"Research Computing Services, Syracuse University, Syracuse, NY, USA",Academic Institution
38222513900,146415,jeffrey j. ventrella,"Research Computing Services, Syracuse University, Syracuse, NY, USA",Academic Institution
37299567100,175767,larry l. smarr,"National Center for Supercomputing Applications, Champaign, IL, USA",Private Corporation
37387962300,146419,b. k. christensen,"Sandia National Laboratories, USA",Private Corporation
38221967100,146419,l. m. desjarlais,"University of New Mexico, USA",Academic Institution
37274132700,175770,deborah silver,"Department of Electrical and Computer Engineering & CAIP, Rutgers University, Piscataway, NJ, USA",Academic Institution
38225199300,175770,m. gao,"Department of Electrical and Computer Engineering & CAIP, Rutgers University, Piscataway, NJ, USA",Academic Institution
37333395400,175770,norman zabusky,"Department of Mech. and Aero. Engineering & CAIP, Rutgers University, Piscataway, NJ, USA",Academic Institution
37428175700,146418,quentin e dolecek,"Applied Physics Laboratory, Johns Hopkins University, Laurel, MD, USA",Academic Institution
37326689900,146418,k. moorjani,"Applied Physics Laboratory, Johns Hopkins University, Laurel, MD, USA",Academic Institution
37631217900,146418,b.f. kim,"Applied Physics Laboratory, Johns Hopkins University, Laurel, MD, USA",Academic Institution
37664444100,146418,d.g. tilley applied physics laboratory,"Applied Physics Laboratory, Johns Hopkins University, Laurel, MD, USA",Academic Institution
37268582900,146418,thomas denney,"Applied Physics Laboratory, Johns Hopkins University, Laurel, MD, USA",Academic Institution
37388808200,175771,steve bryson,"NASA Ames Res. Center, Moffett Field, CA, USA",Private Corporation
37671515100,175771,creon levit,"Applied Research Office, Numerical Aerodynamics Simulation Division, NASA Ames Research Center, Moffett Field, CA, USA",Private Corporation
38227300900,175772,paul gene swann,"Department of Computer Science, University of Colorado, Colorado Springs, CO, USA",Academic Institution
37938882400,175772,sudhanshu kumar semwal,"Department of Computer Science, University of Colorado, Colorado Springs, CO, USA",Academic Institution
37377256900,175773,al globus,Computer Science Corporation,Private Corporation
37671515100,175773,creon levit,NASA Ames Research Center,Private Corporation
37671524000,175773,tom a lasinski,NASA Ames Research Center,Private Corporation
37282570000,175777,peter schrã¶der,"Thinking Machines Corporation, Cambridge, MA, USA",Private Corporation
38168664800,175777,james b. salem,"Thinking Machines Corporation, Cambridge, MA, USA",Private Corporation
38179868800,175780,richard s. gallagher,"Swanson Analysis Systems, Inc., Houston, PA, USA",Private Corporation
38225773500,175776,h. w. park,"Image Computing Systems Laboratory, Department of Electrical Engineering,  FT-10, University of Washington, Seattle, WA, USA",Academic Institution
38161597000,175776,k. s. eo,"Samsung Advanced Institute of Technology, South Korea",Academic Institution
37336015300,175776,d.l. kim,"Image Computing Systems Laboratory, Department of Electrical Engineering,  FT-10, University of Washington, Seattle, WA, USA",Academic Institution
38226162500,175776,bs choi,"Samsung Advanced Institute of Technology, South Korea",Academic Institution
37280925600,175776,y. kim,"Image Computing Systems Laboratory, Department of Electrical Engineering,  FT-10, University of Washington, Seattle, WA, USA",Academic Institution
37349272100,175776,trent alexander,"Image Computing Systems Laboratory, Department of Electrical Engineering,  FT-10, University of Washington, Seattle, WA, USA",Academic Institution
37418915200,175778,terry s. yoo,"Department of Computer Science, North Carolina State University, Chapel Hill, NC, USA",Academic Institution
37284618000,175778,ulrich neumann,"Department of Computer Science, North Carolina State University, Chapel Hill, NC, USA",Academic Institution
37285537200,175778,henry fuchs,"North Carolina Univ., Chapel Hill, NC, USA",Academic Institution
37284115400,175778,stephen pizer,"North Carolina Univ., Chapel Hill, NC, USA",Academic Institution
38220609700,175778,tim cullip,"Department of Radiation Oncology, School of Medicine, North Carolina State University, Chapel Hill, NC, USA",Academic Institution
38226866400,175778,john rhoades,"Department of Computer Science, North Carolina State University, Chapel Hill, NC, USA",Academic Institution
37267322600,175778,ross t. whitaker,"Department of Computer Science, North Carolina State University, Chapel Hill, NC, USA",Academic Institution
38224624000,175781,d. watson,"IBM European Visualization Centre, Winchester, UK",Private Corporation
38111071800,175781,j. wejchert,"IBM European Visualization Centre, Winchester, UK",Private Corporation
38225762300,175781,d. w. williams,"IBM European Visualization Centre, Winchester, UK",Private Corporation
38099457200,175781,b. m. collins,"IBM European Visualization Centre, Winchester, UK",Private Corporation
37283754100,175782,gregory m. nielson,"Computer Science, Arizona State University, Tempe, AZ, USA",Academic Institution
37282068700,175782,bernd hamann,"Computer Science, Arizona State University, Tempe, AZ, USA",Academic Institution
37371985200,175784,larry rosenblum,"Naval Research Laboratory, Inc., Washington D.C., DC, USA",Private Corporation
38275540400,175784,behzad kamgar-parsi,"Naval Research Laboratory, Inc., Washington D.C., DC, USA",Private Corporation
37298498100,175784,edward belcher,"Applied Physics Laboratory, University of Washington, Seattle, WA, USA",Academic Institution
37370696100,175784,ola engelsen,"Applied Physics Laboratory, University of Washington, Seattle, WA, USA",Academic Institution
37267387800,175785,nelson max,"Lawrence Livermore National Laboratory, University of California Davis, USA",Academic Institution
37378427200,175787,william e. lorensen,"Corporate Research and Development, General Electric Company Limited, Schenectady, NY, USA",Private Corporation
37086987129,175787,boris yamrom,"General Electric Co., Schenectady, NY, USA",Private Corporation
37347480400,175790,bowen alpern,"IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA",Private Corporation
37281754200,175790,larry carter,"IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA",Private Corporation
38181564900,175786,robert h. wolfe,"Computer Sciences Department, IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA",Private Corporation
38221911200,175786,mark needels,"AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA",Private Corporation
37269957800,175786,john d. joannopoulos,"Department of Physics, MIT, Cambridge, MA, USA",Private Corporation
37282730100,175789,william j. schroeder,"GE Corporate Research and Development Center, Schenectady, NY, USA",Private Corporation
37378427600,175789,christopher r. volpe,"GE Corporate Research and Development Center, Schenectady, NY, USA",Private Corporation
37378427200,175789,william e. lorensen,"GE Corporate Research and Development Center, Schenectady, NY, USA",Private Corporation
38221881400,175791,william r. feeny,"Infomation and Decision Systems Department, San Diego State University, San Diego, CA, USA",Academic Institution
37388907800,175792,robert victor klassen,"Xerox Webster Research Center, Webster, NY, USA",Private Corporation
38227614600,175792,steven j harrington,"Xerox Webster Research Center, Webster, NY, USA",Private Corporation
37314757900,175796,ted mihalisin,"Mihalisin Associates, Ambler, PA, USA",Private Corporation
37567607700,175796,john timlin,"Mihalisin Associates, Ambler, PA, USA",Private Corporation
37938366000,175796,john schwegler,"Mihalisin Associates, Ambler, PA, USA",Private Corporation
37591245700,175794,andreas buja,"Bellcore, Morristown, NJ, USA",Private Corporation
37613372700,175794,john alan mcdonald,"Department of Statistics, University of Washington, Seattle, WA, USA",Academic Institution
38224573600,175794,john michalak,"Department of Statistics, University of Washington, Seattle, WA, USA",Academic Institution
37373699500,175794,werner stuetzle,"Department of Statistics, University of Washington, Seattle, WA, USA",Academic Institution
37352200300,175799,nahum gershon,"MITRE Corporation, McLean, VA, USA",Private Corporation
38224220100,175797,kenneth p. hinckley,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",Academic Institution
37268441700,175797,matthew ward,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",Academic Institution
37974090900,175802,nils thune,"Department of Science and Technology, Christian Michelsen Institute, Fantoft, Norway",Academic Institution
37355728400,175802,bjã¸rn olstad,"Division of Computer Systems and Telematics, Norwegian Institute of Technology, Trondheim, Norway",Academic Institution
37393753600,175804,thomas a. foley,"Computer Science Depart men, Arizona State University, Tempe, AZ, USA",Academic Institution
37356915500,175804,david a. lane,"Computer Science Depart men, Arizona State University, Tempe, AZ, USA",Academic Institution
37276270800,175801,g.z. yang,"Department of Computing, Imperial College, London University, London, UK",Academic Institution
37618336200,175801,peter burger,"Department of Computing, Imperial College, London University, London, UK",Academic Institution
37372075800,175801,p.j. kilner,"Magnetic Resonance Unit, Royal Bmmpton National Heart and Lung Hospital, London, UK",Private Corporation
37272738600,175801,raad h. mohiaddin,"Magnetic Resonance Unit, Royal Bmmpton National Heart and Lung Hospital, London, UK",Private Corporation
37386999400,175800,s.k. law,"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",Academic Institution
37301346300,175800,p.l. nunez,"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",Academic Institution
37377532500,175800,a.f. westdorp,"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",Academic Institution
37378970600,175800,a.v. nelson,"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",Academic Institution
38161624900,175800,k.l. pilgreen,"Brain Physics Group, Department of Biomedical Engineering, Tulane University, New Orleans, LA, USA",Academic Institution
37064514200,175806,renben shu,"Institute of Systems Science, National University of Singapore, Singapore",Academic Institution
38225641700,175806,alan liu,"Institute of Systems Science, National University of Singapore, Singapore",Academic Institution
38165288100,175809,stuart smith,"Institute for Visualization and Perception Research, Computer Science Department, University of Lowell, Lowell, MA, USA",Academic Institution
37360588500,175809,georges grinstein,"Institute for Visualization and Perception Research, Computer Science Department, University of Lowell, Lowell, MA, USA",Academic Institution
38227675400,175809,r. daniel bergeron,"Computer Science Department, Kingsbury Hall, University of New Hampshire, Durham, NH, USA",Academic Institution
37342422500,175805,roni yagel,"Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA",Academic Institution
37268052800,175805,arie e kaufman,"Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA",Academic Institution
38225529300,175805,qiang zhang,"Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA",Academic Institution
37389499500,175807,t. todd elvins,"San Diego Supercomputer Center, Advanced Scientific Visualization Laboratory",Private Corporation
37374054100,175807,david r. nadeau,"San Diego Supercomputer Center, Advanced Scientific Visualization Laboratory",Private Corporation
38227139100,175812,u. lang,"University of Stuttgart Computing Center, Stuttgart, Germany",Academic Institution
38227658000,175812,r. lang,"University of Stuttgart Computing Center, Stuttgart, Germany",Academic Institution
37086990245,175812,r. ruhle,"Stuttgart Univ. Comput. Center, Germany",Academic Institution
37284273900,175811,roger crawfis,"Lawrence Livemore National Laboratory, Livermore, CA, USA",Private Corporation
38227501100,175811,michael j. allison,"Lawrence Livemore National Laboratory, Livermore, CA, USA",Private Corporation
37390089900,175810,allan tuchman,"Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA",Academic Institution
37671093000,175810,david jablonowski,"Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA",Academic Institution
37078835600,175810,george cybenko,"Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA",Academic Institution
37374054100,175814,david r. nadeau,"Advanced Scientific Visualization Laboratory, San Diego Supercomputer Center",Private Corporation
37389499500,175814,t. todd elvins,"Advanced Scientific Visualization Laboratory, San Diego Supercomputer Center",Private Corporation
37280473500,175814,michael j. bailey,"Advanced Scientific Visualization Laboratory, San Diego Supercomputer Center",Private Corporation
37345924200,175816,eric grosse,"AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA",Private Corporation
37381975300,175815,brian johnson,"Department of Computer Science & Human-Computer Interaction Laboratory, University of Maryland, College Park, MD, USA",Academic Institution
37283016400,175815,ben shneiderman,"Department of Computer Science & Human-Computer Interaction Laboratory, University of Maryland, College Park, MD, USA",Academic Institution
38226914800,175820,william c. hill,"Computer Graphics and Interactive Media Research Group, Bell Communications Research, Inc.",Private Corporation
37282894500,175820,james d. hollan,"Computer Graphics and Interactive Media Research Group, Bell Communications Research, Inc.",Private Corporation
37378493100,175819,sandeep kochhar,"Harvard University, USA",Academic Institution
37390684200,175819,mark friedell,"Harvard University, USA",Academic Institution
37671059300,175819,mark lapolla,Lockheed Advanced Computation Laboratory,Private Corporation
37271377200,175818,robert b haber,"Department of Theoretical & Applied Mechanics, Center for SuDercomDuting Research & DeveloDment, University of Illinois, Urbana-Champaign, Urbana, IL, USA",Academic Institution
37388593200,175818,bruce lucas,"Thomas J. Watson Research Center, IBM, Corporation, Hawthorne, NY, USA",Private Corporation
37386981900,175818,nancy s collins,"Thomas J. Watson Research Center, IBM, Corporation, Hawthorne, NY, USA",Private Corporation
37333439100,175821,andrew j. hanson,"Department of Computer Science, Indiana University, Bloomington, IN, USA",Academic Institution
37283077400,175821,p.a. heng,"Department of Computer Science, Indiana University, Bloomington, IN, USA",Academic Institution
37282753300,175824,haim levkowitz,"Institute for Visualizatioii and Perception Research, University of Lowell, Lowell, MA, USA",Academic Institution
38224353400,175824,richard a. holub,"AGFA, Wilmington, MA, USA",Private Corporation
37567312900,175824,gary w. meyer,"Department of Computer Science, University of Oregon, Eugene, OR, USA",Academic Institution
37388066800,175824,philip k. robertson,"Division of Information Technology, CSIRO, Canberra, Australia",Private Corporation
38179868800,175823,richard s. gallagher,"Swanson Analysis Systems, Inc., Houston, PA, USA",Private Corporation
37271377200,175823,robert b haber,"University of Illinois, USA",Academic Institution
38227450500,175823,gordon feguson,"Visual Kinematics, Inc.",Private Corporation
38224713300,175823,david parker,"Centric, Inc.",Private Corporation
38224641300,175823,douglas w. stillman,"Livermore Software Technology, Inc.",Private Corporation
38222078500,175823,james winget,Silicon Graphics Computer Systems,Private Corporation
38224561200,175830,d. stevenson,"Division of Information Technology, CSIRO, Canberra, ACT, Australia",Private Corporation
37428175700,175832,quentin e dolecek,"Johns Hopkins University, Laurel, MD, USA",Academic Institution
38221919700,175831,neal e. hurlburt,"Research Laboratories, Lockheed Palo Alto, Palo Alto, CA, USA",Private Corporation
38221920200,175831,lola w. anacker,"NASA Ames Research Center, Mountain View, CA, USA",Private Corporation
37321254000,175831,raoul kopelman,"Chemistry Department, University of Michigan, Ann Arbor, MI, USA",Academic Institution
37563084100,175833,steve m. legensky,"Intelligent Light, Fair Lawn, NJ, USA",Private Corporation
37387702200,175836,n.c. schaller,"Computer Science Department, Rochester Institute of Technology, Rochester, NY, USA",Academic Institution
37282898700,175837,robert haimes,"Computational Fluid Dynamics Laboratory, Department of Aeronautics and Astronautics, Massachusetts Institute of Technology, Cambridge, MA, USA",Academic Institution
38221993300,175837,dave darmofal,"Computational Fluid Dynamics Laboratory, Department of Aeronautics and Astronautics, Massachusetts Institute of Technology, Cambridge, MA, USA",Academic Institution
37342242100,175834,david w. robertson,"Lawrence Berkeley Laboratory, University of California, Berkeley, CA, USA",Academic Institution
37340016200,175834,van l. jacobson,"Lawrence Berkeley Laboratory, University of California, Berkeley, CA, USA",Academic Institution
37277350600,175834,william e. johnston,"Lawrence Berkeley Laboratory, University of California, Berkeley, CA, USA",Academic Institution
38270974600,175834,stewart c. loken,"Lawrence Berkeley Laboratory, University of California, Berkeley, CA, USA",Academic Institution
38221931300,175834,edward h. theil,"Lawrence Berkeley Laboratory, University of California, Berkeley, CA, USA",Academic Institution
37276286600,175834,brian l. tierney,"Lawrence Berkeley Lab., California Univ., Berkeley, CA, USA",Academic Institution
37384054700,235173,c. s. jones,"Scientific Visualization Center, USACE Waterways Experiment Station, Vicksburg, MS, USA",Private Corporation
37381492700,235173,j. a. baca,"Scientific Visualization Center, USACE Waterways Experiment Station, Vicksburg, MS, USA",Private Corporation
38221932000,175838,j burnetti,"Energy, Resource,  & Environmental Systems Division, MITRE Corporation, McLean, VA, USA",Private Corporation
38158111400,175838,r. manley energy,"Energy, Resource,  & Environmental Systems Division, MITRE Corporation, McLean, VA, USA",Private Corporation
38221858800,175838,w mitchell,"Energy, Resource,  & Environmental Systems Division, MITRE Corporation, McLean, VA, USA",Private Corporation
38221934700,175838,d varnadore,"Environmental Management Directorate, Sacramento Air Logistics Center, Sacramento, CA, USA",Private Corporation
37333395400,235174,norman zabusky,"Department of Mech. and Aero. Engineering  & CAIP, Rutgers University, Piscataway, NJ, USA",Academic Institution
37274132700,235174,deborah silver,"Department of Electrical and Computer Engineering  & CAIP, Rutgers University, Piscataway, NJ, USA",Academic Institution
37378512200,235177,philip j. mercurio,"San Diego Supercomputer Center, San Diego, CA, USA",Private Corporation
